Measurement : PES-PEG400
Device : OCA35XL
Customer : OCA35XL
Sample : PES-PEG400
Operator : schubotz
Remarks : OCA35XL

Run-No	Age[ms]	CA(M)[°]	CA(L)[°]	CA(R)[°]	CM	BD[mm]	Vol[µL]	Mag[pixel/mm]	BI left[mm]	BI right[mm]	Height[mm]
1	37317,16	69,94	69,94	NA	T	0,00	NA	48,85	0,00	0,00	0,00
2	37636,12	69,32	69,32	NA	T	0,00	NA	48,83	0,00	0,00	0,00
3	37956,02	69,29	69,29	NA	T	0,00	NA	48,85	0,00	0,00	0,00
4	38274,98	68,69	69,57	67,80	T	2,09	NA	48,85	5,92	8,00	0,00
5	38593,95	68,32	69,72	66,91	T	2,09	NA	48,84	5,92	8,01	0,00
6	38912,90	68,89	69,81	67,96	T	2,11	NA	48,85	5,92	8,02	0,00
7	39231,86	68,76	69,71	67,81	T	2,13	NA	48,84	5,92	8,05	0,00
8	39550,82	69,08	69,96	68,21	T	2,15	NA	48,85	5,90	8,04	0,00
9	39870,79	69,15	70,42	67,89	T	2,17	NA	48,85	5,90	8,07	0,00
10	40189,75	69,31	70,48	68,13	T	2,17	NA	48,87	5,89	8,06	0,00
11	40508,72	68,98	70,72	67,24	T	2,19	NA	48,88	5,89	8,08	0,00
12	40827,69	69,23	71,23	67,22	T	2,19	NA	48,86	5,89	8,08	0,00
13	41146,66	69,18	71,22	67,15	T	2,21	NA	48,85	5,90	8,11	0,00
14	41465,63	69,74	71,87	67,61	T	2,21	NA	48,85	5,89	8,11	0,00
15	41785,64	69,21	71,78	66,64	T	2,23	NA	48,85	5,90	8,13	0,00
16	42104,62	69,53	72,36	66,71	T	2,23	NA	48,86	5,89	8,13	0,00
17	42423,60	69,41	72,14	66,69	T	2,25	NA	48,86	5,89	8,15	0,00
18	42742,57	69,66	72,61	66,70	T	2,25	NA	48,86	5,89	8,15	0,00
19	43061,55	69,46	72,66	66,26	T	2,25	NA	48,85	5,89	8,15	0,00
20	43380,52	69,58	72,96	66,21	T	2,27	NA	48,86	5,89	8,17	0,00
21	43700,60	69,74	73,30	66,18	T	2,29	NA	48,86	5,87	8,17	0,00
22	44019,58	69,73	73,53	65,92	T	2,31	NA	48,87	5,87	8,18	0,00
23	44338,57	69,88	73,21	66,56	T	2,31	NA	48,86	5,87	8,19	0,00
24	44657,55	69,81	73,45	66,16	T	2,31	NA	48,87	5,87	8,19	0,00
25	44976,54	69,64	73,02	66,25	T	2,33	NA	48,85	5,88	8,21	0,00
26	45295,52	69,57	72,96	66,19	T	2,33	NA	48,86	5,87	8,21	0,00
27	45614,50	69,43	72,70	66,15	T	2,37	NA	48,85	5,85	8,23	0,00
28	45934,64	69,56	72,50	66,61	T	2,37	NA	48,86	5,85	8,23	0,00
29	46253,63	69,36	72,62	66,11	T	2,37	NA	48,86	5,85	8,23	0,00
30	46572,63	69,19	72,43	65,95	T	2,39	NA	48,86	5,85	8,25	0,00
31	46891,62	69,22	72,54	65,90	T	2,39	NA	48,86	5,85	8,25	0,00
32	47210,61	69,30	72,68	65,92	T	2,41	NA	48,87	5,83	8,25	0,00
33	47529,60	69,37	72,90	65,84	T	2,44	NA	48,86	5,83	8,27	0,00
34	47849,79	69,13	72,29	65,96	T	2,43	NA	48,88	5,83	8,27	0,00
35	48168,79	69,07	72,43	65,71	T	2,44	NA	48,86	5,83	8,27	0,00
36	48487,79	69,28	72,62	65,95	T	2,48	NA	48,87	5,81	8,29	0,00
37	48806,79	69,53	72,80	66,25	T	2,48	NA	48,87	5,81	8,29	0,00
38	49125,79	68,95	71,91	65,99	T	2,48	NA	48,86	5,81	8,29	0,00
39	49444,79	68,79	71,70	65,89	T	2,50	NA	48,86	5,81	8,31	0,00
40	49765,04	68,69	71,52	65,87	T	2,50	NA	48,88	5,81	8,31	0,00
41	50084,05	68,49	71,46	65,53	T	2,52	NA	48,86	5,79	8,31	0,00
42	50403,06	68,66	71,55	65,77	T	2,54	NA	48,86	5,79	8,33	0,00
43	50722,07	68,78	71,71	65,85	T	2,54	NA	48,87	5,79	8,33	0,00
44	51041,07	68,46	71,07	65,84	T	2,54	NA	48,87	5,79	8,33	0,00
45	51360,09	68,26	70,80	65,72	T	2,56	NA	48,85	5,79	8,35	0,00
46	51680,39	67,92	70,50	65,34	T	2,56	NA	48,87	5,79	8,35	0,00
47	51999,41	67,49	70,20	64,77	T	2,56	NA	48,87	5,79	8,35	0,00
48	52318,42	67,23	69,68	64,77	T	2,56	NA	48,86	5,79	8,35	0,00
49	52637,44	67,01	69,42	64,61	T	2,56	NA	48,86	5,79	8,35	0,00
50	52956,45	66,74	69,33	64,15	T	2,60	NA	48,87	5,77	8,37	0,00
51	53275,47	66,26	68,95	63,56	T	2,60	NA	48,85	5,77	8,37	0,00
52	53594,48	66,37	68,99	63,74	T	2,60	NA	48,87	5,77	8,37	0,00
53	53913,50	66,26	68,79	63,74	T	2,60	NA	48,87	5,77	8,37	0,00
54	54232,52	65,90	68,38	63,42	T	2,60	NA	48,86	5,77	8,37	0,00
55	54551,54	65,86	68,52	63,20	T	2,60	NA	48,87	5,77	8,37	0,00
56	54870,55	65,81	68,34	63,28	T	2,60	NA	48,86	5,77	8,37	0,00
57	55189,57	65,59	68,28	62,90	T	2,60	NA	48,85	5,77	8,37	0,00
58	55508,58	65,45	67,89	63,00	T	2,60	NA	48,86	5,77	8,37	0,00
59	55829,00	65,39	67,99	62,80	T	2,62	NA	48,85	5,77	8,39	0,00
60	56148,02	65,08	67,48	62,68	T	2,62	NA	48,85	5,77	8,39	0,00
61	56467,05	65,08	67,62	62,54	T	2,62	NA	48,85	5,77	8,39	0,00
62	56786,07	64,93	67,58	62,28	T	2,62	NA	48,84	5,77	8,39	0,00
63	57105,10	64,97	67,77	62,18	T	2,62	NA	48,84	5,77	8,39	0,00
64	57424,12	64,70	67,27	62,12	T	2,62	NA	48,84	5,77	8,40	0,00
65	57743,14	64,80	67,50	62,11	T	2,62	NA	48,86	5,77	8,39	0,00
66	58062,17	64,77	67,52	62,02	T	2,62	NA	48,86	5,77	8,39	0,00
67	58381,19	64,47	67,02	61,92	T	2,62	NA	48,86	5,77	8,39	0,00
68	58700,21	64,48	67,12	61,84	T	2,62	NA	48,86	5,77	8,39	0,00
69	59019,24	64,26	66,82	61,71	T	2,62	NA	48,85	5,77	8,39	0,00
70	59338,27	64,49	67,17	61,81	T	2,62	NA	48,85	5,77	8,39	0,00
71	59658,79	64,39	66,97	61,81	T	2,62	NA	48,85	5,77	8,39	0,00
72	59977,82	64,29	66,86	61,72	T	2,62	NA	48,84	5,77	8,39	0,00
73	60296,85	64,17	66,52	61,82	T	2,62	NA	48,85	5,77	8,39	0,00
74	60615,88	64,05	66,83	61,27	T	2,62	NA	48,85	5,77	8,39	0,00
75	60934,91	64,08	66,80	61,36	T	2,62	NA	48,85	5,77	8,39	0,00
76	61253,95	63,85	66,56	61,15	T	2,62	NA	48,86	5,77	8,39	0,00
77	61572,98	63,89	66,56	61,23	T	2,62	NA	48,84	5,77	8,39	0,00
78	61892,01	63,41	66,09	60,74	T	2,62	NA	48,85	5,77	8,39	0,00
79	62211,04	63,70	66,24	61,15	T	2,62	NA	48,86	5,77	8,39	0,00
80	62530,07	63,68	66,36	61,00	T	2,62	NA	48,86	5,77	8,39	0,00
81	62849,11	63,61	66,10	61,12	T	2,62	NA	48,86	5,77	8,39	0,00
82	63168,14	63,52	66,16	60,88	T	2,64	NA	48,84	5,77	8,42	0,00
83	63487,17	63,41	66,13	60,69	T	2,64	NA	48,85	5,77	8,41	0,00
84	63807,80	63,61	66,23	60,98	T	2,64	NA	48,84	5,77	8,42	0,00
85	64126,84	63,30	65,94	60,66	T	2,64	NA	48,84	5,77	8,42	0,00
86	64445,88	63,46	66,24	60,67	T	2,64	NA	48,85	5,77	8,41	0,00
87	64764,93	62,98	65,73	60,22	T	2,64	NA	48,86	5,77	8,41	0,00
88	65083,96	63,11	65,84	60,38	T	2,64	NA	48,81	5,78	8,42	0,00
89	65403,00	63,05	65,77	60,33	T	2,66	NA	48,83	5,75	8,42	0,00
90	65722,05	63,23	65,82	60,63	T	2,66	NA	48,84	5,75	8,42	0,00
91	66041,09	63,03	65,74	60,32	T	2,66	NA	48,85	5,75	8,41	0,00
92	66360,13	62,90	65,50	60,30	T	2,66	NA	48,84	5,75	8,42	0,00
